,id_str,created_at,user.screen_name,user.location,retweeted_status.created_at,text,extended_tweet.full_text
7097,1186713349662355456,Tue Oct 22 18:38:05 +0000 2019,eliasbordones18,,Tue Oct 22 18:17:22 +0000 2019,"RT @tolerranciasebo: #pineiradictador #renunciaBastardoCuliao
#quesevayanlosmilicos #estopasaenchile #parque araucano #polo ramirez https:/…",
7125,1186713357258244097,Tue Oct 22 18:38:07 +0000 2019,Catalin72418119,Chile🇨🇱,Tue Oct 22 16:09:35 +0000 2019,RT @Montt_see: El ya dijo lo que todos pensamos   #QueSeVayanLosMilicos #EstoPasaEnChile #renunciapineira https://t.co/5Qrn9tokhx,
7132,1186713358378110982,Tue Oct 22 18:38:07 +0000 2019,imcarlosjoaquin,"La Serena, Chile",,Ahí tienen al presidente .@sebastianpinera acaba de reunirse con los presidentes de los partidos políticos PERO SIG… https://t.co/bQqXpqMedD,Ahí tienen al presidente .@sebastianpinera acaba de reunirse con los presidentes de los partidos políticos PERO SIGUE SIN ESCUCHAR A LA CIUDADANÍA! #RenunciaPiñera #PiñeraDictador
7138,1186713360844382210,Tue Oct 22 18:38:07 +0000 2019,XimenaTatianaR1,,Tue Oct 22 18:35:00 +0000 2019,RT @zheestaa: La Derecha del Piñera Dictador y sus militares asesinando al pueblo. #renunciapiñera #ChileEstaDespertando #ChileQuierePaz #C…,
7147,1186713362211770368,Tue Oct 22 18:38:08 +0000 2019,Ledesmakarenn,"Buenos Aires, Argentina",Tue Oct 22 05:14:11 +0000 2019,RT @magicalnmystery: LOS MILICOS DEL #PiñeraDictador ESCONDEN CUERPOS EN SUPERMERCADOS Y DESPUÉS LOS INCENDIAN #renunciapiñera #PIÑERACRIMI…,
7184,1186713371774730242,Tue Oct 22 18:38:10 +0000 2019,heylouisg,Santiago,Tue Oct 22 01:55:06 +0000 2019,RT @monlaferte: Que esperas? @sebastianpinera el mundo te está observando #Piñeradictador,
7185,1186713372047413248,Tue Oct 22 18:38:10 +0000 2019,BolivaryZ,,Tue Oct 22 03:29:56 +0000 2019,RT @DrodriguezVen: Es lamentable q violación descarada y masiva de los DDHH en la dictadura pinochetista de @sebastianpinera cuente con la…,
7236,1186713388002484224,Tue Oct 22 18:38:14 +0000 2019,OZKR86,Sol,Tue Oct 22 11:52:29 +0000 2019,"RT @macarenasaav: Súper buen video para q los desclasados entiendan lo q pasa en chile y se dejen d hablar weas 

#renunciapineira
#FelizMa…",
7257,1186713392876326912,Tue Oct 22 18:38:15 +0000 2019,anti7odo,La Realidad. ,Tue Oct 22 14:43:53 +0000 2019,"RT @Chileokulto: #EstoPasaEnChileً
Maestros se ríen de @sebastianpinera y realizan performance con dichos ""Estamos en guerra"" 
Solo un dato…",
7309,1186713408621727745,Tue Oct 22 18:38:19 +0000 2019,ricardomunz,"Valdivia, Chile",,"Esos son weones, más bencina al fuego #piñeradictador",
